reading,word,meaning
アイサツ,挨拶,인사
アイテ,相手,상대
アイマイ,曖昧,애매함
アキラカ,明らか,분명함
アキル,飽きる,싫증나다
アクシュ,握手,악수
アズカル,預かる,"맡다, 보관하다"
アズケル,預ける,맡기다
アタエル,与える,"주다, 부여하다"
アタタメル,温める,데우다
アタリマエ,当たり前,당연함
アツカウ,扱う,다루다
アワセル,合わせる,"맞추다, 합치다"
アワテル,慌てる,당황하다
アンゼン,安全,안전
アンテイ,安定,안정
イガイ,意外,의외
イキオイ,勢い,기세
イキナリ,いきなり,갑자기
イケン,意見,의견
イシキ,意識,의식
イジョウ,異常,"이상, 비정상"
イッパン,一般,일반
イドウ,移動,이동
イナカ,田舎,시골
イネムリ,居眠り,"졸음, 꾸벅꾸벅 졸기"
イノル,祈る,"빌다, 기도하다"
イハン,違反,위반
イライ,依頼,의뢰
イワウ,祝う,축하하다
ウケトル,受け取る,받다
ウゴカス,動かす,움직이다
ウシナウ,失う,잃다
ウタガウ,疑う,의심하다
ウツス,移す,옮기다
ウツル,移る,옮겨가다
ウナズク,頷く,끄덕이다
ウラガエス,裏返す,뒤집다
エイキョウ,影響,영향
エンキ,延期,연기
エンリョ,遠慮,"사양, 조심"
オイツク,追いつく,따라잡다
オウエン,応援,응원
オウフク,往復,왕복
オギナウ,補う,보충하다
オクレル,遅れる,늦다
オコナウ,行う,행하다
オサエル,抑える,"억누르다, 억제하다"
オソレル,恐れる,두려워하다
オトズレル,訪れる,"방문하다, 찾아오다"
オドロク,驚く,놀라다
オモイダス,思い出す,떠올리다
カイケツ,解決,해결
カイシ,開始,"개시, 시작"
カイゼン,改善,개선
カイフク,回復,회복
カカワル,関わる,관계되다
カクニン,確認,확인
カコム,囲む,둘러싸다
カサネル,重ねる,"겹치다, 거듭하다"
カジル,齧る,"베어 먹다, 조금 배우다"
カタヅケル,片付ける,정리하다
カタル,語る,이야기하다
カナウ,叶う,이루어지다
カマウ,構う,상관하다
カヨウ,通う,다니다
カンケイ,関係,관계
カンシン,関心,관심
カンソウ,感想,감상
カンリ,管理,관리
キオク,記憶,기억
キタイ,期待,기대
キヅク,気付く,"깨닫다, 알아차리다"
キボウ,希望,희망
キョウツウ,共通,공통
キョウリョク,協力,협력
キロク,記録,기록
クフウ,工夫,"궁리, 연구"
クベツ,区別,구별
クリカエス,繰り返す,반복하다
ケイカ,経過,경과
ケイケン,経験,경험
ケイコウ,傾向,경향
ケッカ,結果,결과
ケッキョク,結局,결국
ケッシン,決心,결심
ケンカ,喧嘩,싸움
ゲンイン,原因,원인
ゲンカイ,限界,한계
ゲンショウ,現象,현상
コウカ,効果,효과
コウドウ,行動,행동
コエル,越える,"넘다, 건너다"
コトナル,異なる,다르다
コトワル,断る,거절하다
コマル,困る,곤란하다
コワス,壊す,부수다
コワレル,壊れる,망가지다
サケル,避ける,피하다
ササエル,支える,"지탱하다, 지원하다"
サソウ,誘う,"권하다, 유혹하다"
サマザマ,様々,여러 가지
サンカ,参加,참가
シアワセ,幸せ,행복
シカタ,仕方,"방법, 방도"
シゲキ,刺激,자극
シジ,指示,지시
シゼン,自然,자연
シタガウ,従う,따르다
シッパイ,失敗,실패
シツレイ,失礼,실례
シハライ,支払い,지불
シメス,示す,"나타내다, 제시하다"
シュウカン,習慣,습관
シュウチュウ,集中,집중
シュウリ,修理,수리
シュッセキ,出席,출석
ジュンビ,準備,준비
ショウタイ,招待,초대
ショウチ,承知,"알고 있음, 승낙"
ショウメイ,証明,증명
シンパイ,心配,걱정
シンライ,信頼,신뢰
スゴス,過ごす,지내다
ススメル,進める,진행시키다
ススメル,勧める,권하다
セイカク,性格,성격
セイゲン,制限,제한
セイコウ,成功,성공
セキニン,責任,책임
セツメイ,説明,설명
センタク,選択,선택
ソウゾウ,想像,상상
ソダテル,育てる,기르다
ソンケイ,尊敬,존경
タイケン,体験,체험
タイド,態度,태도
タオス,倒す,쓰러뜨리다
タシカメル,確かめる,확인하다
タスケル,助ける,돕다
タッスル,達する,도달하다
タノム,頼む,부탁하다
タメス,試す,시험해 보다
